Postnummer,Husnummer,Kvadratmeter,Grundareal,Byggeår,Afstand_skole,Afstand_supermarked,Salgspris
2300.0,40.0,93,0.0,2007.0,486.17,319.82,3100000
2100.0,53.0,144,0.0,1878.0,437.5,154.26,6400000
2100.0,1.0,134,0.0,1905.0,213.69,60.15,5750000
2450.0,17.0,101,0.0,2007.0,347.12,520.4,3295000
2450.0,17.0,94,0.0,2007.0,347.12,520.4,3000000
2450.0,25.0,142,0.0,2007.0,380.2,478.31,5045000
2450.0,14.0,103,0.0,2007.0,303.57,562.68,3295000
2450.0,16.0,102,0.0,2007.0,328.33,578.74,3160000
2450.0,16.0,113,0.0,2007.0,328.33,578.74,3800000
2400.0,53.0,81,0.0,2007.0,302.5,224.02,2195000
2400.0,55.0,94,0.0,2007.0,306.51,221.42,2134869
2400.0,65.0,95,0.0,2007.0,350.52,230.82,2295000
2400.0,67.0,94,0.0,2007.0,357.4,225.36,2475000
2400.0,71.0,93,0.0,2007.0,358.5,229.01,2695000
2300.0,5.0,106,0.0,2007.0,536.46,125.74,2775000
2300.0,5.0,105,0.0,2007.0,536.46,125.74,3025000
2300.0,5.0,110,0.0,2007.0,536.21,129.65,2940000
2300.0,5.0,119,0.0,2007.0,536.21,129.65,4200000
2300.0,5.0,112,0.0,2007.0,537.18,136.01,3225000
2300.0,5.0,112,0.0,2007.0,537.18,136.01,3550000
2300.0,5.0,121,0.0,2007.0,537.18,136.01,3560000
2300.0,5.0,112,0.0,2007.0,537.18,136.01,3325000
2300.0,5.0,73,0.0,2007.0,542.3,148.56,1875000
2300.0,5.0,71,0.0,2007.0,542.3,148.56,2185000
2300.0,5.0,73,0.0,2007.0,542.3,148.56,1812000
2300.0,23.0,146,0.0,2007.0,405.17,4.47,3645000
2300.0,23.0,130,0.0,2007.0,405.17,4.47,3995000
2300.0,20.0,85,0.0,2007.0,387.4,34.75,2670000
2300.0,58.0,89,0.0,2007.0,396.02,231.22,3025000
2300.0,58.0,106,0.0,2007.0,396.02,231.22,3800000
2300.0,60.0,90,0.0,2007.0,406.48,240.81,2610000
2300.0,60.0,100,0.0,2007.0,406.48,240.81,3250000
2300.0,60.0,89,0.0,2007.0,406.48,240.81,2680000
2300.0,60.0,94,0.0,2007.0,406.48,240.81,2700000
2300.0,60.0,94,0.0,2007.0,406.48,240.81,3255000
2300.0,60.0,89,0.0,2007.0,406.48,240.81,3200000
2300.0,62.0,95,0.0,2007.0,417.86,251.64,2775000
2300.0,62.0,102,0.0,2007.0,417.86,251.64,3095000
2300.0,62.0,105,0.0,2007.0,417.86,251.64,3300000
2300.0,62.0,103,0.0,2007.0,417.86,251.64,3150000
2300.0,64.0,93,0.0,2007.0,429.01,262.56,2725000
2300.0,64.0,102,0.0,2007.0,429.01,262.56,2975000
2300.0,66.0,92,0.0,2007.0,441.36,274.89,2800000
2300.0,68.0,103,0.0,2007.0,449.57,283.09,3180000
2300.0,68.0,98,0.0,2007.0,449.57,283.09,3100000
2100.0,28.0,94,0.0,2007.0,381.01,80.1,3895000
1653.0,6.0,113,0.0,1893.0,242.26,110.68,5495000
1700.0,29.0,94,0.0,1908.0,225.19,79.16,4150000
