haeldning_300m,elevation,mass_balance,haeldning_adaptiv,hastighed_x,retning,hastighed_y,afstand_til_kant_km,areal,gletsjer_dybde
0.12,219.37,-990.42,0.11,3.98,127.01,-4.13,0.296,0.589,66.0
0.13,214.91,-992.12,0.13,1.19,127.63,-1.66,0.26,0.589,66.0
0.13,215.58,-991.87,0.12,1.83,125.91,-3.32,0.285,0.589,66.0
0.18,1035.7,-949.13,0.36,7.58,98.47,2.19,0.333,2.385,69.0
0.18,1035.39,-949.25,0.36,7.58,82.61,2.19,0.335,2.385,69.0
0.18,1035.05,-949.38,0.36,7.58,64.84,2.19,0.339,2.385,69.0
0.18,1034.83,-949.47,0.36,7.58,53.58,2.19,0.341,2.385,69.0
0.18,1034.49,-949.6,0.36,7.58,35.68,2.19,0.344,2.385,69.0
0.18,1034.12,-949.74,0.36,7.58,15.83,2.19,0.347,2.385,69.0
0.18,1033.89,-949.83,0.37,7.58,3.68,2.19,0.349,2.385,69.0
0.18,1033.46,-949.99,0.37,7.58,29.16,2.19,0.352,2.385,69.0
0.17,1033.06,-950.14,0.37,7.58,58.91,2.19,0.355,2.385,69.0
0.17,1032.74,-950.26,0.37,7.58,79.8,2.19,0.358,2.385,69.0
0.17,1032.25,-950.45,0.37,7.58,107.26,2.19,0.361,2.385,69.0
0.17,1031.94,-950.57,0.37,7.58,122.13,2.19,0.363,2.385,69.0
0.17,1031.56,-950.71,0.37,7.58,136.31,2.19,0.366,2.385,69.0
0.17,1031.14,-950.87,0.37,7.58,148.52,2.19,0.37,2.385,69.0
0.17,1030.86,-950.98,0.37,7.3,153.61,2.29,0.372,2.385,69.0
0.17,1030.4,-951.15,0.37,6.94,157.21,2.43,0.375,2.385,69.0
0.17,1029.78,-951.39,0.37,6.94,150.1,2.43,0.38,2.385,69.0
0.17,1029.17,-951.62,0.37,6.94,128.11,2.43,0.383,2.385,69.0
0.17,1028.77,-951.78,0.37,6.94,112.11,2.43,0.386,2.385,69.0
0.17,1028.19,-952.0,0.37,6.94,88.73,2.43,0.389,2.385,69.0
0.17,1027.78,-952.15,0.37,6.94,71.47,2.43,0.392,2.385,69.0
0.17,1027.67,-952.2,0.37,6.94,66.55,2.43,0.392,2.385,69.0
0.17,1027.94,-952.09,0.37,6.94,4.98,2.43,0.391,2.385,69.0
0.17,1027.69,-952.19,0.37,6.94,6.42,2.43,0.393,2.385,69.0
0.17,1027.43,-952.29,0.37,6.94,18.46,2.43,0.394,2.385,69.0
0.17,1028.42,-951.91,0.36,6.94,7.56,2.43,0.388,2.385,69.0
0.17,1028.33,-951.94,0.36,6.94,6.64,2.43,0.389,2.385,69.0
0.17,1028.1,-952.03,0.36,6.94,5.59,2.43,0.39,2.385,69.0
0.17,1028.58,-951.85,0.36,9.39,9.97,1.57,0.385,2.385,69.0
0.17,1028.48,-951.89,0.36,6.94,8.4,2.43,0.387,2.385,69.0
0.17,1028.79,-951.77,0.35,10.04,13.29,1.3,0.381,2.385,69.0
0.17,1028.69,-951.8,0.35,10.04,11.72,1.3,0.383,2.385,69.0
0.17,1029.22,-951.6,0.34,10.04,18.33,1.3,0.375,2.385,69.0
0.17,1029.08,-951.66,0.34,10.04,17.07,1.3,0.377,2.385,69.0
0.17,1028.91,-951.72,0.35,10.04,15.38,1.3,0.379,2.385,69.0
0.17,1028.84,-951.75,0.35,10.04,14.21,1.3,0.38,2.385,69.0
0.17,1029.88,-951.35,0.33,10.04,26.29,1.3,0.367,2.385,69.0
0.17,1029.69,-951.42,0.33,10.04,24.0,1.3,0.37,2.385,69.0
0.17,1029.5,-951.5,0.33,10.04,21.59,1.3,0.372,2.385,69.0
0.17,1029.33,-951.56,0.34,10.04,19.53,1.3,0.374,2.385,69.0
0.17,829.66,-956.01,0.17,12.4,118.03,-1.45,0.348,4.184,68.0
0.16,816.74,-960.93,0.14,18.91,117.61,-2.61,0.355,4.184,68.0
0.16,822.65,-958.68,0.15,13.76,118.71,-1.71,0.35,4.184,68.0
0.14,804.86,-965.46,0.12,24.61,112.46,-2.82,0.374,4.184,67.68
0.15,809.4,-963.73,0.12,23.48,114.3,-2.81,0.368,4.184,67.91
0.13,796.12,-968.79,0.11,33.09,106.07,-3.4,0.386,4.184,67.0
0.14,799.92,-967.35,0.11,33.69,109.42,-3.44,0.381,4.184,67.29
0.13,791.78,-970.45,0.11,33.93,101.93,-3.42,0.392,4.184,67.0
0.12,785.19,-972.96,0.12,26.23,95.49,-2.73,0.405,4.184,67.0
0.13,788.02,-971.88,0.11,31.9,97.99,-3.21,0.398,4.184,67.0
0.12,779.86,-974.99,0.13,13.94,94.3,-2.16,0.425,4.184,67.0
0.12,782.31,-974.06,0.13,22.4,93.79,-2.58,0.414,4.184,67.0
0.11,774.81,-976.91,0.14,4.7,100.25,-3.58,0.43,4.184,67.0
0.12,777.12,-976.03,0.14,7.09,97.08,-3.13,0.428,4.184,67.0
0.11,769.51,-978.93,0.14,0.67,114.01,-5.46,0.441,4.184,66.53
0.11,771.47,-978.19,0.14,2.18,107.17,-3.7,0.435,4.184,67.0
0.11,765.08,-980.62,0.13,0.67,126.31,-4.87,0.421,4.184,66.0
0.11,767.19,-979.82,0.13,0.44,121.19,-5.2,0.442,4.184,66.0
0.12,759.4,-982.79,0.12,1.9,132.8,-3.91,0.374,4.184,66.0
0.12,762.37,-981.65,0.13,1.2,130.54,-4.68,0.395,4.184,66.0
0.12,753.64,-984.98,0.12,4.25,134.39,-2.99,0.338,4.184,66.0
0.12,756.18,-984.01,0.12,3.55,134.05,-3.42,0.354,4.184,66.0
0.12,747.56,-987.3,0.11,6.19,133.36,-2.98,0.319,4.184,66.0
