MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_HOUSE,C20_6MONTH%,MI_OBJ_OIS_TAXATION_VALUE_PLOT,KOEBESUM_BELOEB
1600000,0,611060,1685500.26,2007,0,0,77,5.81,317400.77,2030000
1600000,0,611060,1685500.26,2007,0,0,77,6.07,317400.77,2075000
1750000,0,611060,1750000,2007,0,0,82,31.71,323500,2400000
1750000,0,611060,1748931.42,2007,0,0,82,2.74,323302.47,2325000
1950000,0,611060,2092861.24,2007,0,0,93,8.23,399575.51,2850000
4300000,10,529223,4300000,2007,0,0,130,28.31,567600,6750000
1900000,0,521109,2039198.13,1971,0,0,100,17.82,238371.53,3020000
2350000,0,521109,2475578.51,1971,0,0,122,9.66,291802.23,4250000
1900000,0,521109,2039198.13,1971,0,0,99,1.28,238371.53,2920000
1650000,0,521109,1770882.58,1971,0,0,87,18.13,203490.51,2495000
1900000,0,521109,2039198.13,1971,0,0,100,19.8,238371.53,3295000
1750000,0,610900,1750000,2007,0,0,88,35.56,353400,2475000
1800000,0,610900,1931871.91,2007,0,0,88,13.06,379290.85,2520000
1850000,0,610900,1850000,2007,0,0,92,42.66,371300,2800000
2050000,0,610900,2050000,2007,0,0,105,35.79,420500,3245000
1800000,0,610900,1931871.91,2007,0,0,90,15.98,379290.85,2720000
2100000,0,610900,2253850.56,2007,0,0,105,9.72,451306.74,350000
1800000,0,610900,1931871.91,2007,0,0,90,19.8,379290.85,2850000
1900000,0,610900,2001531.56,2007,0,0,93,3.33,386506.28,2925000
1900000,0,610900,1900000,2007,0,0,93,31.12,366900,3100000
1900000,0,610900,2001531.56,2007,0,0,96,-0.03,372284.87,2756000
2150000,0,610900,2150000,2007,0,0,108,45.97,420500,3695000
1800000,0,610900,1931871.91,2007,0,0,91,11.16,379290.85,2800000
1750000,0,610900,1843515.91,2007,0,0,88,5.75,372284.87,2525000
1750000,0,610900,1878208.8,2007,0,0,90,5.46,379290.85,2640000
1800000,0,610900,1896187.8,2007,0,0,90,2.75,372284.87,2500000
1900000,0,610900,1900000,2007,0,0,93,31.27,366900,2850000
1900000,0,610900,2039198.13,2007,0,0,93,20.05,393779.89,2895000
1900000,0,610900,1900000,2007,0,0,93,45.97,366900,3100000
4150000,37,992446,4471358.73,1878,0,0,144,0.14,778555.14,6400000
3200000,0,303772,3372183.65,1905,0,0,134,6.53,201804.12,5750000
2200000,0,281230,2248453.75,2007,0,0,101,26.46,343093.6,3295000
2150000,0,281230,2219256.21,2007,0,0,94,3.33,316476.26,3000000
3350000,0,281230,3554345.54,2007,0,0,142,10.73,536440.93,5045000
2400000,0,281230,2477309.26,2007,0,0,103,5.15,376447.79,3295000
2200000,0,281230,2334197.07,2007,0,0,102,11.81,364983.54,3160000
2650000,0,281230,2811646.47,2007,0,0,113,0.49,413258.98,3800000
1400000,0,3236,1518083.02,2007,0,0,81,11.68,91084.98,2195000
1800000,0,3236,1951821.02,2007,0,0,94,11.16,87723.51,2134869
1700000,0,3236,1843386.52,2007,0,0,95,18.78,88916.29,2295000
1800000,0,3236,1800000,2007,0,0,94,31.54,80900,2475000
1800000,0,3236,1800000,2007,0,0,93,32.36,82000,2695000
2150000,5,826660,2150000,2007,0,0,106,35.56,415500,2775000
2200000,5,826660,2361176.78,2007,0,0,105,18.77,445940.43,3025000
2250000,5,826660,2370234.74,2007,0,0,110,3.92,461511.04,2940000
2400000,0,826660,2400000,2007,0,0,119,28.64,478700,4200000
2250000,4,826660,2414839.89,2007,0,0,112,5.39,479855.52,3225000
2350000,5,826660,2396737.65,2007,0,0,112,26.92,455992.09,3550000
2400000,0,826660,2575829.21,2007,0,0,121,2.36,523537.29,3560000
2350000,6,826660,2475578.51,2007,0,0,112,4.52,470991.98,3325000
1400000,4,826660,1502567.04,2007,0,0,73,8.71,290854.05,1875000
1500000,4,826660,1529832.54,2007,0,0,71,27.05,267210.75,2185000
1550000,4,826660,1663556.37,2007,0,0,73,8.23,290854.05,1812000
3150000,0,659658,3380775.84,2007,0,0,146,9.65,372743.95,3645000
2800000,0,659658,2855687.41,2007,0,0,130,30.51,305354.58,3995000
1850000,0,659658,1948859.68,2007,0,0,85,5.43,223960.85,2670000
1800000,0,611680,1931871.91,2007,0,0,89,9.01,377466.31,3025000
2100000,0,611680,2253850.56,2007,0,0,106,17.73,461932.04,3800000
1650000,0,611680,1738172.15,2007,0,0,90,5.15,375339.84,2610000
1950000,0,611680,1950000,2007,0,0,100,23.4,402600,3250000
1800000,0,611680,1931871.91,2007,0,0,89,15.98,377466.31,2680000
1900000,0,611680,2001531.56,2007,0,0,94,5.57,394828.44,2700000
1900000,0,611680,1900000,2007,0,0,94,26.22,374800,3255000
1800000,0,611680,1800000,2007,0,0,89,33.36,351700,3200000
1850000,0,611680,1948859.68,2007,0,0,95,6.51,385031.47,2775000
1950000,0,611680,2054203.44,2007,0,0,102,5.43,419162.85,3095000
2100000,0,611680,2253850.56,2007,0,0,105,19.8,441969.36,3300000
2050000,0,611680,2200187.45,2007,0,0,103,8.23,432095.35,3150000
1900000,0,611680,2039198.13,2007,0,0,93,5.46,382403.31,2725000
2000000,0,611680,2000000,2007,0,0,102,26.45,397900,2975000
1800000,0,611680,1916106.21,2007,0,0,92,19.1,374385.86,2800000
2050000,0,611680,2050000,2007,0,0,103,26.45,416400,3180000
1950000,0,611680,2054203.44,2007,0,0,98,6.24,414317.03,3100000
2500000,0,421066,2517934,2007,0,0,94,19.8,203650.5,3895000
1350000,5,218740,1359684.36,1893,0,0,113,14.11,381718.79,5495000
1850000,0,202712,1850000,1908,0,0,94,26.45,318500,4150000
1700000,0,202712,1824377.03,1908,0,0,86,19.8,309607.51,3495000
2250000,0,202712,2414616.66,1864,0,0,119,8.23,438279.75,4305000
2200000,0,202712,2256409.09,1864,0,0,106,24.67,368922.89,4260000
1700000,0,522920,1700000,2007,0,0,86,29.98,342000,2400000
1700000,0,522920,1700000,2007,0,0,86,30.15,342000,2650000
1400000,0,522920,1502567.04,2007,0,0,69,13.63,283877.84,2200000
780000,0,522920,780000,2007,0,0,85,31.27,328300,2525000
860000,0,522920,860000,2007,0,0,85,26.42,328300,2750000
970000,0,522920,970000,2007,0,0,97,28.22,383100,3195000
970000,0,522920,1021834.53,2007,0,0,97,6.07,403571.97,2995000
920000,0,522920,920000,2007,0,0,91,30.15,346500,2625000
970000,0,522920,1021834.53,2007,0,0,98,-1.19,398726.16,2995000
920000,0,522920,920000,2007,0,0,91,29.2,346500,2945000
1000000,0,522920,1000000,2007,0,0,101,44.71,392100,3275000
920000,0,522920,969162.65,2007,0,0,91,9.66,365016.15,2975000
810000,0,522920,869342.36,2007,0,0,89,14.11,381759.35,2395000
870000,0,522920,870000,2007,0,0,86,26.45,342000,2650000
910000,0,522920,910000,2007,0,0,92,26.22,355700,2790000
1950000,0,522920,1988782.3,2007,0,0,99,31.35,395308.73,3250000
970000,0,522920,1041064.31,2007,0,0,99,9.87,411166.74,2895000
2100000,0,522920,2212219.09,2007,0,0,105,3.91,432330.82,2675000
970000,0,522920,970000,2007,0,0,99,39.32,383100,2920000
1000000,0,522920,1073262.17,2007,0,0,100,18.13,435529.79,3012500
960000,0,522920,1030331.69,2007,0,0,97,17.51,430700.11,2745000
890000,0,522920,890000,2007,0,0,90,23.4,369300,2650000
2450000,0,661806,2629492.32,2007,0,0,112,7.76,463219.95,3500000
2500000,0,661806,2633594.16,2007,0,0,114,4.29,463933.95,4000000
1950000,0,661806,1950000,2007,0,0,90,30.71,335700,3570000
1950000,0,661806,2092861.24,2007,0,0,90,11.8,360294.11,3395000
2650000,0,661806,2650000,2007,0,0,117,32.54,453500,4200000
2000000,0,661806,2146524.35,2007,0,0,90,18.7,360294.11,3785000
2650000,0,661806,2844144.76,2007,0,0,117,-0.45,486724.4,4210000
4050000,0,508030,4050000,2007,0,0,149,25.47,747200,5800000
2700000,0,508030,2845279.95,2007,0,0,101,0.37,515522.57,3797000
3300000,0,508030,3300000,2007,0,0,122,24.74,580600,2850000
2850000,0,508030,2850000,2007,0,0,106,39.32,494500,6745000
4700000,0,508030,4700000,2007,0,0,172,28.31,849300,10000000
1700000,0,216845,1808970.14,1939,0,0,101,5,162594.49,3125000
1350000,0,216845,1350000,1939,0,0,81,42.66,121000,2675000
1750000,0,268462,1878035.18,1875,0,0,86,9.01,378826.53,3375000
970000,0,887910,1040624.9,2007,0,0,87,10.73,217458.42,2550000
1550000,80,887910,1371028.34,2007,0,0,0,19.8,160985.26,950000
3350000,0,410544,3595095.92,1842,0,0,144,15.98,613849.21,5180000
2000000,0,175421,2003134.71,1910,0,0,190,6.15,655125.21,6900000
1600000,34,87913,1676307.02,1913,0,0,66,4.98,533694.25,2300000
1950000,0,887880,2042999.18,2008,0,0,94,4.98,259513.28,2900000
2100000,0,887880,2100000,2008,0,0,96,30.57,256700,3495000
2300000,0,887880,2409691.34,2008,0,0,104,5.33,306449.88,3098000
2300000,0,887880,2467461.1,2008,0,0,103,1.28,310685.54,2999000
1100000,0,530272,1152976.14,1880,0,0,86,6.07,326082.61,3000000
1700000,0,19640,1700000,1969,0,0,101,30.63,156100,2595000
800000,0,19640,858609.74,1969,0,0,94,18.13,154657.08,2430000
1900000,0,494799,2039198.13,2007,0,0,91,17.82,277545.6,2600000
1900000,0,494799,1900000,2007,0,0,91,23.4,258600,3200000
2950000,5,503062,2950000,2007,0,0,124,30.71,247700,3295000
4600000,275,503062,4600000,2007,0,0,90,29.2,257200,2450000
1400000,0,162877,1509226.56,1988,0,0,93,9.05,384960.58,2185000
4500000,3,574873,4500000,1887,0,0,130,28.53,369600,5350000
1850000,3,574873,1985351.48,1887,0,0,162,7.51,502454.9,6500000
1950000,0,530272,2092667.77,1880,0,0,74,9.01,249403.07,3495000
4100000,0,43550,4399968.14,1916,0,0,157,3.41,108282.14,7700000
3000000,0,441920,3219786.52,2008,0,0,119,19.51,456673.05,4995000
2950000,0,441920,3107641.11,2008,0,0,117,5.1,448237.73,4500000
2950000,0,441920,3166123.41,2008,0,0,117,20.05,456673.05,4900000
2950000,0,441920,2950000,2008,0,0,117,31.61,425500,4500000
2850000,0,441920,3002297.34,2008,0,0,110,5.33,417161.31,4550000
2800000,0,441920,3005134.08,2008,0,0,109,3.41,420504.12,4750000
2750000,0,441920,2951470.97,2008,0,0,115,8.23,456673.05,3900000
3000000,0,441920,3219786.52,2008,0,0,115,0.52,456673.05,4625000
3100000,5,29913,3327112.73,2008,0,0,94,9.65,256616.99,3495000
3450000,5,29913,3450000,2008,0,0,97,38.13,247700,4450000
3450000,5,29913,3702754.5,2008,0,0,97,20.26,265847.04,4040000
3700000,8,29913,3700000,2008,0,0,102,25.74,264700,4315000
5150000,8,29913,5425203.97,2008,0,0,144,6.35,404730.75,6300000
3100000,5,29913,3100000,2008,0,0,94,30.29,239100,3450000
3400000,6,29913,3400000,2008,0,0,97,31.54,247700,3920000
2500000,10,29913,2633594.16,2008,0,0,102,-1.19,275895.32,4195000
3650000,7,29913,3917406.93,2008,0,0,102,11.68,281087.36,3985000
4100000,8,29913,4100000,2008,0,0,116,28.31,304600,5135000
7150000,8,29913,7150000,2008,0,0,203,32.36,552200,11270000
2100000,0,490190,2167645.6,2008,0,0,84,6.23,352190.8,2660000
3500000,0,490190,3713495.34,2008,0,0,134,14.11,600206.95,5450000
2350000,0,490190,2425698.65,2008,0,0,93,6.24,384602.26,2890000
2300000,0,490190,2300000,2008,0,0,91,29.99,363700,2995000
1950000,0,490190,1950000,2008,0,0,84,29.69,278400,3250000
2350000,0,490190,2350000,2008,0,0,91,28.53,304400,3815000
2600000,0,490190,2600000,2008,0,0,103,29.66,399600,3700000
2600000,0,490190,2657263.52,2008,0,0,102,26.46,341356.16,3720000
2500000,0,696120,2500000,2006,0,0,108,28.23,429900,3550000
1650000,0,865550,1750647.8,2008,0,0,74,8.23,214533.93,2775000
2500000,0,865550,2500000,2008,0,0,107,28.53,304800,3159000
2600000,0,865550,2600000,2008,0,0,108,35.56,307900,4250000
1450000,0,865550,1538448.07,2008,0,0,67,3.93,191404.16,2450000
1950000,0,865550,2012813.77,2008,0,0,81,3.61,231215.53,3295000
2100000,0,865550,2100000,2008,0,0,88,29.92,245700,3475000
2050000,0,865550,2175047.27,2008,0,0,88,10.73,260687.37,3178000
2300000,0,865550,2300000,2008,0,0,97,29.66,273700,3700000
2100000,0,865550,2228097.2,2008,0,0,88,17.53,260687.37,3200000
2100000,0,865550,2167645.6,2008,0,0,89,8.61,263317.33,2995000
2250000,0,865550,2387247,2008,0,0,95,1.28,290395.34,3249000
3200000,0,865550,3303079.01,2008,0,0,132,2.75,398124.24,4325000
2150000,0,865550,2281147.14,2008,0,0,90,18.13,273949.86,3198000
1300000,5,151794,1343567.53,1968,0,0,57,4.47,183448.64,105000000
2300000,0,466680,2423757,2007,0,0,88,6.24,390541.02,3460000
2250000,0,466680,2371066.63,2007,0,0,87,5.1,384112.79,3175000
2300000,0,466680,2300000,2007,0,0,88,25.13,370600,3500000
4150000,0,466680,4179770.44,2007,0,0,158,9.01,669367.58,6100000
3300000,0,466680,3477564.39,2007,0,0,123,5.1,526060.65,4895000
2600000,0,725910,2790481.65,2008,0,0,131,18.78,726276.51,3995000
2250000,0,725910,2266140.6,2008,0,0,114,18.13,575297.56,2550000
2650000,0,725910,2650000,2008,0,0,131,28.22,676700,4445000
2000000,0,725910,2106875.33,2008,0,0,101,6.23,516711.17,2695000
2350000,0,725910,2475578.51,2008,0,0,116,6.14,614786.22,4050000
2500000,0,399990,2620400.31,1730,0,0,191,6.51,579527.73,5500000
2650000,0,399990,2777624.33,1730,0,0,193,7.11,586550.41,6200000
3550000,0,399990,3550000,1730,0,0,126,29.66,396300,3450000
3700000,5,490360,3700000,2008,0,0,137,29.51,654800,6500000
2950000,4,490360,3045025.96,2008,0,0,112,5.36,536440.68,4475000
3000000,4,490360,3182996,2008,0,0,112,10.14,551401.01,4704000
5700000,4,490360,5883609.49,2008,0,0,213,6.31,1078145.63,13950000
2950000,4,490360,2950000,2008,0,0,112,29.66,519700,4800000
2350000,0,0,2428756.69,1939,0,28,124,5.75,1017597.38,2600000
3550000,0,474933,3809728.51,1904,0,0,157,8.23,353392.56,5550000
480000,5,123642,515118.22,1971,0,0,52,15.98,155179.36,1465000
2150000,0,490050,2150000,2008,0,0,86,29.99,383100,1600000
1950000,0,490050,2012813.77,2008,0,0,81,6.07,410717.23,2645000
3350000,0,490050,3350000,2008,0,0,130,35.79,584500,4095000
2450000,0,490050,2599446.74,2008,0,0,97,9.87,453364.73,3295000
2300000,0,490050,2300000,2008,0,0,90,25.74,392900,3995000
1900000,18,490050,1957034.77,2008,0,0,73,5.36,369364.56,2650000
1900000,0,490050,1961203.16,2008,0,0,75,3.61,334643.19,2395000
4350000,0,490050,4615344.21,2008,0,0,170,7.76,839037.75,5800000
2500000,0,490050,2580530.48,2008,0,0,96,6.15,441064.27,4000000
2450000,0,490050,2528919.87,2008,0,0,94,-0.03,425890.75,3910000
1350000,63,502112,1350000,1899,0,0,42,29.59,174700,1900000
1900000,0,289613,1900000,2008,0,0,75,31.12,497300,3325000
2450000,0,289613,2450000,2008,0,0,104,30.61,700600,3700000
2250000,0,289613,2414616.66,2008,0,0,90,13.5,469616.11,3650000
2550000,0,289613,2550000,2008,0,0,100,40.81,685600,4800000
2500000,0,289613,2500000,2008,0,0,98,35.79,678000,4720000
2450000,0,289613,2450000,2008,0,0,95,28.45,655400,5200000
2800000,0,289613,3004856.29,2008,0,0,108,17.82,588522.57,5420000
2550000,0,289613,2550000,2008,0,0,107,45.97,723300,4050000
3100000,0,557570,3100000,2008,0,0,123,33.36,442000,4125000
3250000,0,557570,3424874.02,2008,0,0,123,5.75,465782.87,4450000
2650000,0,557570,2855204.97,2008,0,0,103,15.98,386368.49,3100000
1300000,0,557570,1400666.59,2008,0,0,102,0.37,381843.26,3100000
1850000,0,557570,1993256.3,2008,0,0,139,15.98,548091.61,6170000
1350000,0,557570,1350000,2008,0,0,103,37.34,358600,3150000
1350000,0,557570,1422639.98,2008,0,0,103,6.24,377895.33,3175000
1750000,0,557570,1885512.72,2008,0,0,132,22.36,516630.48,5575000
1550000,0,605817,1550000,1900,0,0,77,29.66,142500,4495000
1550000,23,291243,1550000,1903,0,0,66,27.69,260000,2400000
1850000,0,14367,1949543.67,1934,0,0,90,3.98,199696.5,2975000
3400000,0,509613,3607395.47,2008,0,0,133,19.1,459730.72,4335000
3150000,0,509613,3251468.4,2008,0,0,123,2.74,406278.72,3200000
2400000,0,509613,2546396.8,2008,0,0,94,18.25,314161.71,3100000
2500000,0,509613,2500000,2008,0,0,96,42.54,310500,3945000
2500000,0,509613,2500000,2008,0,0,96,37.34,310500,3900000
2300000,0,509613,2300000,2008,0,0,92,30.63,296100,3170000
