MI_OBJ_OIS_SUM_OF_TAXATION_VALUES,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA_BUILDING,MI_OBJ_OIS_MOTHER_ID,MI_OBJ_OIS_TAXATION_VALUE,MI_OBJ_OIS_CONSTRUCTION_YEAR,MI_OBJ_OIS_SIZE_OF_BASEMENT,MI_OBJ_OIS_SIZE_OF_ATTIC,SUPERMARKET_DISTANCE_1,MI_OBJ_OIS_SIZE_OF_BUSINESS_AREA,MI_OBJ_OIS_TAXATION_VALUE_PLOT
2250000.0,0,826660.0,2370234.74,2007.0,0,0,129.65,5,461511.04
2400000.0,0,826660.0,2400000.0,2007.0,0,0,129.65,0,478700.0
2250000.0,0,826660.0,2414839.89,2007.0,0,0,136.01,4,479855.52
2350000.0,0,826660.0,2396737.65,2007.0,0,0,136.01,5,455992.09
2400000.0,0,826660.0,2575829.21,2007.0,0,0,136.01,0,523537.29
2350000.0,0,826660.0,2475578.51,2007.0,0,0,136.01,6,470991.98
1400000.0,0,826660.0,1502567.04,2007.0,0,0,148.56,4,290854.05
1500000.0,0,826660.0,1529832.54,2007.0,0,0,148.56,4,267210.75
1550000.0,0,826660.0,1663556.37,2007.0,0,0,148.56,4,290854.05
3150000.0,0,659658.0,3380775.84,2007.0,0,0,4.47,0,372743.95
2800000.0,0,659658.0,2855687.41,2007.0,0,0,4.47,0,305354.58
1850000.0,0,659658.0,1948859.68,2007.0,0,0,34.75,0,223960.85
1800000.0,0,611680.0,1931871.91,2007.0,0,0,231.22,0,377466.31
2100000.0,0,611680.0,2253850.56,2007.0,0,0,231.22,0,461932.04
1650000.0,0,611680.0,1738172.15,2007.0,0,0,240.81,0,375339.84
1950000.0,0,611680.0,1950000.0,2007.0,0,0,240.81,0,402600.0
1800000.0,0,611680.0,1931871.91,2007.0,0,0,240.81,0,377466.31
1900000.0,0,611680.0,2001531.56,2007.0,0,0,240.81,0,394828.44
1900000.0,0,611680.0,1900000.0,2007.0,0,0,240.81,0,374800.0
1800000.0,0,611680.0,1800000.0,2007.0,0,0,240.81,0,351700.0
1850000.0,0,611680.0,1948859.68,2007.0,0,0,251.64,0,385031.47
1950000.0,0,611680.0,2054203.44,2007.0,0,0,251.64,0,419162.85
2100000.0,0,611680.0,2253850.56,2007.0,0,0,251.64,0,441969.36
2050000.0,0,611680.0,2200187.45,2007.0,0,0,251.64,0,432095.35
1900000.0,0,611680.0,2039198.13,2007.0,0,0,262.56,0,382403.31
2000000.0,0,611680.0,2000000.0,2007.0,0,0,262.56,0,397900.0
1800000.0,0,611680.0,1916106.21,2007.0,0,0,274.89,0,374385.86
2050000.0,0,611680.0,2050000.0,2007.0,0,0,283.09,0,416400.0
1950000.0,0,611680.0,2054203.44,2007.0,0,0,283.09,0,414317.03
2500000.0,0,421066.0,2517934.0,2007.0,0,0,80.1,0,203650.5
1350000.0,0,218740.0,1359684.36,1893.0,0,0,110.68,5,381718.79
1850000.0,0,202712.0,1850000.0,1908.0,0,0,79.16,0,318500.0
1700000.0,0,202712.0,1824377.03,1908.0,0,0,79.16,0,309607.51
2250000.0,0,202712.0,2414616.66,1864.0,0,0,82.59,0,438279.75
2200000.0,0,202712.0,2256409.09,1864.0,0,0,82.59,0,368922.89
1700000.0,0,522920.0,1700000.0,2007.0,0,0,367.32,0,342000.0
1700000.0,0,522920.0,1700000.0,2007.0,0,0,367.32,0,342000.0
1400000.0,0,522920.0,1502567.04,2007.0,0,0,367.32,0,283877.84
780000.0,0,522920.0,780000.0,2007.0,0,0,347.8,0,328300.0
860000.0,0,522920.0,860000.0,2007.0,0,0,347.8,0,328300.0
970000.0,0,522920.0,970000.0,2007.0,0,0,347.8,0,383100.0
970000.0,0,522920.0,1021834.53,2007.0,0,0,347.8,0,403571.97
920000.0,0,522920.0,920000.0,2007.0,0,0,349.72,0,346500.0
970000.0,0,522920.0,1021834.53,2007.0,0,0,349.72,0,398726.16
920000.0,0,522920.0,920000.0,2007.0,0,0,349.72,0,346500.0
1000000.0,0,522920.0,1000000.0,2007.0,0,0,349.72,0,392100.0
920000.0,0,522920.0,969162.65,2007.0,0,0,349.72,0,365016.15
810000.0,0,522920.0,869342.36,2007.0,0,0,354.43,0,381759.35
870000.0,0,522920.0,870000.0,2007.0,0,0,354.43,0,342000.0
910000.0,0,522920.0,910000.0,2007.0,0,0,369.56,0,355700.0
1950000.0,0,522920.0,1988782.3,2007.0,0,0,369.56,0,395308.73
970000.0,0,522920.0,1041064.31,2007.0,0,0,390.17,0,411166.74
2100000.0,0,522920.0,2212219.09,2007.0,0,0,390.17,0,432330.82
970000.0,0,522920.0,970000.0,2007.0,0,0,390.17,0,383100.0
1000000.0,0,522920.0,1073262.17,2007.0,0,0,411.29,0,435529.79
960000.0,0,522920.0,1030331.69,2007.0,0,0,432.37,0,430700.11
890000.0,0,522920.0,890000.0,2007.0,0,0,432.37,0,369300.0
2450000.0,0,661806.0,2629492.32,2007.0,0,0,151.28,0,463219.95
2500000.0,0,661806.0,2633594.16,2007.0,0,0,151.28,0,463933.95
1950000.0,0,661806.0,1950000.0,2007.0,0,0,195.45,0,335700.0
1950000.0,0,661806.0,2092861.24,2007.0,0,0,195.45,0,360294.11
2650000.0,0,661806.0,2650000.0,2007.0,0,0,195.45,0,453500.0
2000000.0,0,661806.0,2146524.35,2007.0,0,0,195.45,0,360294.11
2650000.0,0,661806.0,2844144.76,2007.0,0,0,134.65,0,486724.4
4050000.0,0,508030.0,4050000.0,2007.0,0,0,99.96,0,747200.0
2700000.0,0,508030.0,2845279.95,2007.0,0,0,138.62,0,515522.57
3300000.0,0,508030.0,3300000.0,2007.0,0,0,133.79,0,580600.0
2850000.0,0,508030.0,2850000.0,2007.0,0,0,133.79,0,494500.0
4700000.0,0,508030.0,4700000.0,2007.0,0,0,133.79,0,849300.0
1700000.0,0,216845.0,1808970.14,1939.0,0,0,41.06,0,162594.49
1350000.0,0,216845.0,1350000.0,1939.0,0,0,41.06,0,121000.0
1750000.0,0,268462.0,1878035.18,1875.0,0,0,104.64,0,378826.53
970000.0,0,887910.0,1040624.9,2007.0,0,0,32.46,0,217458.42
1550000.0,0,887910.0,1371028.34,2007.0,0,0,3.53,80,160985.26
3350000.0,0,410544.0,3595095.92,1842.0,0,0,67.28,0,613849.21
2000000.0,0,175421.0,2003134.71,1910.0,0,0,368.84,0,655125.21
1600000.0,0,87913.0,1676307.02,1913.0,0,0,259.07,34,533694.25
1950000.0,0,887880.0,2042999.18,2008.0,0,0,35.93,0,259513.28
2100000.0,0,887880.0,2100000.0,2008.0,0,0,21.3,0,256700.0
2300000.0,0,887880.0,2409691.34,2008.0,0,0,3.92,0,306449.88
2300000.0,0,887880.0,2467461.1,2008.0,0,0,3.92,0,310685.54
1100000.0,0,530272.0,1152976.14,1880.0,0,0,109.47,0,326082.61
1700000.0,0,19640.0,1700000.0,1969.0,0,0,4.99,0,156100.0
800000.0,0,19640.0,858609.74,1969.0,0,0,4.99,0,154657.08
1900000.0,0,494799.0,2039198.13,2007.0,0,0,87.25,0,277545.6
1900000.0,0,494799.0,1900000.0,2007.0,0,0,111.94,0,258600.0
2950000.0,0,503062.0,2950000.0,2007.0,0,0,11.37,5,247700.0
4600000.0,0,503062.0,4600000.0,2007.0,0,0,41.38,275,257200.0
1250000.0,0,501159.0,1250000.0,1820.0,0,0,,0,248200.0
870000.0,0,501159.0,933651.78,1820.0,0,0,,0,170310.96
1400000.0,0,162877.0,1509226.56,1988.0,0,0,156.78,0,384960.58
4500000.0,0,574873.0,4500000.0,1887.0,0,0,76.95,3,369600.0
1850000.0,0,574873.0,1985351.48,1887.0,0,0,76.95,3,502454.9
1950000.0,0,530272.0,2092667.77,1880.0,0,0,109.47,0,249403.07
4100000.0,0,43550.0,4399968.14,1916.0,0,0,319.81,0,108282.14
1409000.0,0,0.0,1456220.5,,0,0,198.57,0,1456220.5
3000000.0,0,441920.0,3219786.52,2008.0,0,0,186.33,0,456673.05
2950000.0,0,441920.0,3107641.11,2008.0,0,0,163.44,0,448237.73
2950000.0,0,441920.0,3166123.41,2008.0,0,0,163.44,0,456673.05
2950000.0,0,441920.0,2950000.0,2008.0,0,0,163.44,0,425500.0
2850000.0,0,441920.0,3002297.34,2008.0,0,0,163.44,0,417161.31
2800000.0,0,441920.0,3005134.08,2008.0,0,0,163.44,0,420504.12
2750000.0,0,441920.0,2951470.97,2008.0,0,0,142.92,0,456673.05
3000000.0,0,441920.0,3219786.52,2008.0,0,0,142.92,0,456673.05
3100000.0,0,29913.0,3327112.73,2008.0,0,0,184.19,5,256616.99
3450000.0,0,29913.0,3450000.0,2008.0,0,0,184.19,5,247700.0
3450000.0,0,29913.0,3702754.5,2008.0,0,0,204.46,5,265847.04
3700000.0,0,29913.0,3700000.0,2008.0,0,0,204.46,8,264700.0
5150000.0,0,29913.0,5425203.97,2008.0,0,0,204.46,8,404730.75
3100000.0,0,29913.0,3100000.0,2008.0,0,0,222.81,5,239100.0
3400000.0,0,29913.0,3400000.0,2008.0,0,0,222.81,6,247700.0
2500000.0,0,29913.0,2633594.16,2008.0,0,0,232.14,10,275895.32
3650000.0,0,29913.0,3917406.93,2008.0,0,0,232.14,7,281087.36
4100000.0,0,29913.0,4100000.0,2008.0,0,0,219.68,8,304600.0
7150000.0,0,29913.0,7150000.0,2008.0,0,0,219.68,8,552200.0
2100000.0,0,490190.0,2167645.6,2008.0,0,0,201.23,0,352190.8
3500000.0,0,490190.0,3713495.34,2008.0,0,0,201.23,0,600206.95
2350000.0,0,490190.0,2425698.65,2008.0,0,0,202.09,0,384602.26
2300000.0,0,490190.0,2300000.0,2008.0,0,0,202.34,0,363700.0
1950000.0,0,490190.0,1950000.0,2008.0,0,0,219.89,0,278400.0
2350000.0,0,490190.0,2350000.0,2008.0,0,0,235.25,0,304400.0
228475000.0,28,0.0,70000000.0,1965.0,0,0,,0,24106500.0
2600000.0,0,490190.0,2600000.0,2008.0,0,0,222.59,0,399600.0
2600000.0,0,490190.0,2657263.52,2008.0,0,0,242.41,0,341356.16
2500000.0,0,696120.0,2500000.0,2006.0,0,0,554.39,0,429900.0
1650000.0,0,865550.0,1750647.8,2008.0,0,0,400.51,0,214533.93
2500000.0,0,865550.0,2500000.0,2008.0,0,0,400.51,0,304800.0
2600000.0,0,865550.0,2600000.0,2008.0,0,0,400.51,0,307900.0
1450000.0,0,865550.0,1538448.07,2008.0,0,0,387.87,0,191404.16
1950000.0,0,865550.0,2012813.77,2008.0,0,0,387.87,0,231215.53
2100000.0,0,865550.0,2100000.0,2008.0,0,0,375.11,0,245700.0
2050000.0,0,865550.0,2175047.27,2008.0,0,0,362.89,0,260687.37
2300000.0,0,865550.0,2300000.0,2008.0,0,0,362.89,0,273700.0
2100000.0,0,865550.0,2228097.2,2008.0,0,0,350.34,0,260687.37
2100000.0,0,865550.0,2167645.6,2008.0,0,0,293.99,0,263317.33
2250000.0,0,865550.0,2387247.0,2008.0,0,0,293.99,0,290395.34
3200000.0,0,865550.0,3303079.01,2008.0,0,0,290.55,0,398124.24
2150000.0,0,865550.0,2281147.14,2008.0,0,0,297.81,0,273949.86
1300000.0,0,151794.0,1343567.53,1968.0,0,0,213.4,5,183448.64
2300000.0,0,466680.0,2423757.0,2007.0,0,0,135.94,0,390541.02
2250000.0,0,466680.0,2371066.63,2007.0,0,0,135.94,0,384112.79
2300000.0,0,466680.0,2300000.0,2007.0,0,0,135.94,0,370600.0
4150000.0,0,466680.0,4179770.44,2007.0,0,0,146.59,0,669367.58
3300000.0,0,466680.0,3477564.39,2007.0,0,0,146.59,0,526060.65
2600000.0,0,725910.0,2790481.65,2008.0,0,0,335.73,0,726276.51
2250000.0,0,725910.0,2266140.6,2008.0,0,0,335.73,0,575297.56
2650000.0,0,725910.0,2650000.0,2008.0,0,0,335.73,0,676700.0
2000000.0,0,725910.0,2106875.33,2008.0,0,0,335.73,0,516711.17
2350000.0,0,725910.0,2475578.51,2008.0,0,0,335.73,0,614786.22
2500000.0,0,399990.0,2620400.31,1730.0,0,0,85.48,0,579527.73
2650000.0,0,399990.0,2777624.33,1730.0,0,0,85.48,0,586550.41
3550000.0,0,399990.0,3550000.0,1730.0,0,0,71.36,0,396300.0
3700000.0,0,490360.0,3700000.0,2008.0,0,0,423.25,5,654800.0
2950000.0,0,490360.0,3045025.96,2008.0,0,0,437.24,4,536440.68
3000000.0,0,490360.0,3182996.0,2008.0,0,0,437.24,4,551401.01
5700000.0,0,490360.0,5883609.49,2008.0,0,0,437.24,4,1078145.63
2950000.0,0,490360.0,2950000.0,2008.0,0,0,434.18,4,519700.0
2350000.0,0,0.0,2428756.69,1939.0,28,0,291.14,0,1017597.38
3550000.0,0,474933.0,3809728.51,1904.0,0,0,199.73,0,353392.56
